neighbourhood,area,rooms,parking,bathrooms,price,lat_value,lon_value,has_multiple_parking_spaces
Jardim América,124.47,3,1,2,599000.0,-23.2265205,-45.8968879,0
Jardim Satélite,124.95,2,1,1,360000.0,-23.2233825,-45.8847575,0
Jardim das Colinas,124.24,1,2,2,744000.0,-23.1985042,-45.9128647,1
Parque Industrial,124.83,2,2,2,550000.0,-23.2341477,-45.9050416,1
Conjunto Residencial Trinta e Um de Março,124.53,2,1,2,525000.0,-23.2534054,-45.9166353,0
Vila Ema,124.71,1,2,2,745000.0,-23.2092982,-45.9032947,1
Condomínio Royal Park,124.01,3,2,1,974460.0,-23.2228195,-45.9104962,1
Jardim Estoril,124.36,2,1,2,446000.0,-23.253497,-45.8829921,0
Floradas de São José,124.74,3,1,2,475000.0,-23.2213004,-45.8883248,0
Vila Betânia,124.17,3,2,2,725000.0,-23.2052682,-45.8881552,1
Parque Residencial Flamboyant,124.81,2,1,1,280000.0,-23.214223,-45.851209,0
Parque Residencial Aquarius,124.47,3,2,2,780000.0,-23.2221126,-45.9095335,1
Jardim Satélite,124.95,1,1,1,330000.0,-23.2223764,-45.8856605,0
Vila Adyana,124.35,4,3,5,3180000.0,-23.2002824,-45.8940021,1
Jardim Bela Vista,124.39,3,1,2,515000.0,-23.1835214,-45.8878957,0
Bosque dos Eucaliptos,124.95,4,2,2,797000.0,-23.2629313,-45.8910605,1
Bosque dos Eucaliptos,124.07,4,1,3,580000.0,-23.2455112,-45.8846834,0
Jardim América,124.5,3,1,2,585000.0,-23.2340199,-45.90173,0
Conjunto Residencial Trinta e Um de Março,124.09,2,1,2,446000.0,-23.2502173,-45.9170663,0
Parque Residencial Aquarius,124.46,3,2,3,1600000.0,-23.2221126,-45.9095335,1
Altos do Esplanada,124.04,3,3,5,2300000.0,-23.2127421,-45.9069145,1
Jardim Veneza,124.97,2,1,2,450000.0,-23.2436303,-45.9132175,0
